region,date,total_deaths
Asia,30/6/2021,1919
Asia,31/1/2022,2494
Asia,30/6/2022,2555
Asia,31/1/2023,2570
Asia,30/6/2023,2570
Asia,31/1/2024,2570
Asia,30/6/2024,2570
Asia,31/1/2020,0
Asia,30/6/2020,0
Asia,31/1/2021,0
Asia,30/6/2021,45
Asia,31/1/2022,914
Asia,30/6/2022,1024
Asia,31/1/2023,1024
Asia,30/6/2023,1024
Asia,31/1/2024,1024
Asia,30/6/2024,1024
Asia,31/1/2020,0
Asia,30/6/2020,0
Asia,31/1/2021,0
Asia,30/6/2021,3
Asia,31/1/2022,544
Asia,30/6/2022,671
Asia,31/1/2023,671
Asia,30/6/2023,671
Asia,31/1/2024,671
Asia,30/6/2024,671
Europe,31/1/2020,0
Europe,30/6/2020,30
Europe,31/1/2021,1363
Europe,30/6/2021,2683
Europe,31/1/2022,5225
Europe,30/6/2022,6486
Europe,31/1/2023,7146
Europe,30/6/2023,7368
Europe,31/1/2024,7465
Europe,30/6/2024,7475
Asia,31/1/2020,0
Asia,30/6/2020,33
Asia,31/1/2021,3031
Asia,30/6/2021,7841
Asia,31/1/2022,9576
Asia,30/6/2022,10460
Asia,31/1/2023,10786
Asia,30/6/2023,10936
Asia,31/1/2024,10947
Asia,30/6/2024,10947
Europe,31/1/2020,0
Europe,30/6/2020,1
Europe,31/1/2021,53
Europe,30/6/2021,59
Europe,31/1/2022,71
Europe,30/6/2022,84
Europe,31/1/2023,87
Europe,30/6/2023,87
Europe,31/1/2024,88
Europe,30/6/2024,89
Europe,31/1/2020,0
Europe,30/6/2020,61
Europe,31/1/2021,2822
Europe,30/6/2021,4382
Europe,31/1/2022,7869
Europe,30/6/2022,9167
Europe,31/1/2023,9537
Europe,30/6/2023,9690
Europe,31/1/2024,9788
Europe,30/6/2024,9807
Europe,31/1/2020,0
Europe,30/6/2020,83
Europe,31/1/2021,337
Europe,30/6/2021,539
Europe,31/1/2022,691
Europe,30/6/2022,880
Europe,31/1/2023,980
Europe,30/6/2023,1000
Europe,31/1/2024,1000
Europe,30/6/2024,1000
Asia,30/6/2021,
Asia,31/1/2022,
Asia,30/6/2022,
Asia,31/1/2023,
Asia,31/1/2020,0
Asia,30/6/2020,121
Asia,31/1/2021,746
Asia,30/6/2021,4944
Asia,31/1/2022,31965
Asia,30/6/2022,35754
Asia,31/1/2023,36866
Asia,30/6/2023,37147
Asia,31/1/2024,37340
Asia,30/6/2024,37351
Asia,31/1/2020,0
Asia,30/6/2020,8
Asia,31/1/2021,52
Asia,30/6/2021,209
Asia,31/1/2022,275
Asia,30/6/2022,305
Asia,31/1/2023,311
Asia,30/6/2023,316
Asia,31/1/2024,316
Asia,30/6/2024,316
Europe,31/1/2020,0
Europe,30/6/2020,9
Europe,31/1/2021,284
Europe,30/6/2021,435
Europe,31/1/2022,568
Europe,30/6/2022,761
Europe,31/1/2023,845
Europe,30/6/2023,861
Europe,31/1/2024,902
Europe,30/6/2024,910
Europe,31/1/2020,0
Europe,30/6/2020,528
Europe,31/1/2021,3621
Europe,30/6/2021,6726
Europe,31/1/2022,10635
Europe,30/6/2022,11563
Europe,31/1/2023,11953
Europe,30/6/2023,12124
Europe,31/1/2024,12197
Europe,30/6/2024,12239
Europe,31/1/2020,0
Europe,30/6/2020,1
Europe,31/1/2021,12
Europe,30/6/2021,33
Europe,31/1/2022,46
Europe,30/6/2022,57
Europe,31/1/2023,65
Europe,30/6/2023,67
Europe,31/1/2024,67
Europe,30/6/2024,67
Asia,31/1/2020,0
Asia,30/6/2020,0
Asia,31/1/2021,2
Asia,30/6/2021,479
Asia,31/1/2022,2036
Asia,30/6/2022,2116
Asia,31/1/2023,2136
Asia,30/6/2023,2136
Asia,31/1/2024,2136
Asia,30/6/2024,2136
Europe,31/1/2020,0
Europe,30/6/2020,2
Europe,31/1/2021,694
Europe,30/6/2021,1514
Europe,31/1/2022,2366
Europe,30/6/2022,2558
Europe,31/1/2023,2621
Europe,30/6/2023,2654
Europe,31/1/2024,2654
Europe,30/6/2024,2654
Asia,31/1/2020,0
Asia,30/6/2020,6
Asia,31/1/2021,3131
Asia,30/6/2021,3297
Asia,31/1/2022,19310
Asia,30/6/2022,19434
Asia,31/1/2023,19490
Asia,30/6/2023,19494
Asia,31/1/2024,19494
Asia,30/6/2024,19494
Asia,31/1/2020,0
Asia,30/6/2020,29
Asia,31/1/2021,2962
Asia,30/6/2021,9009
Asia,31/1/2022,11735
Asia,30/6/2022,11952
Asia,31/1/2023,12020
Asia,30/6/2023,12031
Asia,31/1/2024,12031
Asia,30/6/2024,12031
Europe,31/1/2020,0
Europe,30/6/2020,6182
Europe,31/1/2021,14348
Europe,30/6/2021,17764
Europe,31/1/2022,21352
Europe,30/6/2022,22365
Europe,31/1/2023,22986
Europe,30/6/2023,22986
Europe,31/1/2024,22986
Europe,30/6/2024,22986
Asia,31/1/2020,0
Asia,30/6/2020,0
Asia,31/1/2021,0
Asia,30/6/2021,0
Asia,31/1/2022,0
Asia,30/6/2022,0
Asia,31/1/2023,0
Asia,30/6/2023,0
